id,creation_date_time,resolution_date_time,res_time,priority,urgency,assigned_organization,inc_type
54,01/04/2021 11:21:00+05,01/04/2021 11:21:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
55,01/04/2021 11:38:00+05,08/04/2021 09:04:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
56,01/04/2021 11:44:00+05,08/04/2021 08:02:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
57,01/04/2021 14:16:00+05,01/04/2021 14:16:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
58,01/04/2021 12:13:00+05,05/04/2021 06:56:00+05,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
59,01/04/2021 12:16:00+05,09/04/2021 10:43:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
60,01/04/2021 15:18:00+05,01/04/2021 15:18:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
61,01/04/2021 13:06:00+05,04/04/2021 04:16:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
62,01/04/2021 13:17:00+05,01/04/2021 18:45:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
63,01/04/2021 13:26:00+05,01/04/2021 13:25:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
64,01/04/2021 13:43:00+05,12/04/2021 12:50:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
65,01/04/2021 14:18:00+05,16/04/2021 16:51:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
66,01/04/2021 15:01:00+05,06/04/2021 07:49:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
67,01/04/2021 14:20:00+05,01/04/2021 14:20:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
68,02/04/2021 07:38:00+05,05/04/2021 09:06:00+05,,Media,2-Alta,Mantenimiento Pasaje,SOFTWARE FAILURE
69,01/04/2021 15:03:00+05,01/04/2021 15:03:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
70,01/04/2021 15:06:00+05,09/04/2021 08:01:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
71,01/04/2021 16:20:00+05,08/04/2021 11:13:00+05,,Baja,4-Baja,Mantenimiento Operaciones,SOFTWARE FAILURE
72,01/04/2021 17:31:00+05,16/04/2021 15:00:00+05,,Media,3-Medio,Unidad Control del Servicio,SOFTWARE FAILURE
73,01/04/2021 17:40:00+05,12/04/2021 22:46:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
74,01/04/2021 17:47:00+05,05/04/2021 09:25:00+05,,Media,3-Medio,Mantenimiento Pasaje,ACCESS FAILURE
75,01/04/2021 19:27:00+05,01/04/2021 20:14:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,PERFORMANCE ISSUE
76,01/04/2021 20:10:00+05,05/04/2021 06:57:00+05,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
77,01/04/2021 20:33:00+05,01/04/2021 20:33:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
78,01/04/2021 20:36:00+05,01/04/2021 20:36:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
79,01/04/2021 20:59:00+05,01/04/2021 20:59:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
80,01/04/2021 21:06:00+05,07/04/2021 08:18:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
81,01/04/2021 21:27:00+05,05/04/2021 14:01:00+05,,Media,3-Medio,Mantenimiento Aeropuertos,ACCESS FAILURE
82,01/04/2021 11:41:00+05,01/04/2021 11:41:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
83,01/04/2021 14:02:00+05,01/04/2021 14:02:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
84,01/04/2021 11:53:00+05,01/04/2021 11:53:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
85,01/04/2021 12:09:00+05,01/04/2021 12:09:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
86,01/04/2021 12:17:00+05,01/04/2021 12:17:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
87,01/04/2021 11:57:00+05,01/04/2021 15:28:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,PERFORMANCE ISSUE
88,01/04/2021 12:54:00+05,01/04/2021 12:54:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
89,01/04/2021 13:37:00+05,01/04/2021 13:52:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
90,01/04/2021 12:20:00+05,07/04/2021 13:48:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,SOFTWARE FAILURE
91,01/04/2021 12:31:00+05,01/04/2021 16:46:00+05,,Media,3-Medio,MANTENIMIENTO IB.COM,DATA ISSUE
92,01/04/2021 13:32:00+05,01/04/2021 13:32:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
93,01/04/2021 12:39:00+05,01/04/2021 12:39:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
94,01/04/2021 12:56:00+05,02/04/2021 15:09:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
95,01/04/2021 12:57:00+05,05/04/2021 15:04:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
96,01/04/2021 13:08:00+05,07/04/2021 12:46:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
97,01/04/2021 13:38:00+05,,,Media,3-Medio,Unidad de Operaciones Ordenadores,ACCESS FAILURE
98,01/04/2021 15:24:00+05,01/04/2021 15:24:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
99,01/04/2021 13:29:00+05,01/04/2021 14:09:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
100,01/04/2021 13:29:00+05,01/04/2021 13:29:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
101,01/04/2021 14:45:00+05,01/04/2021 14:45:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
102,01/04/2021 13:54:00+05,05/04/2021 16:05:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,PERFORMANCE ISSUE
103,01/04/2021 13:40:00+05,07/04/2021 08:20:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
104,01/04/2021 13:46:00+05,07/04/2021 08:22:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
105,01/04/2021 13:56:00+05,01/04/2021 13:56:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
106,01/04/2021 14:13:00+05,01/04/2021 14:13:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
107,02/04/2021 09:31:00+05,02/04/2021 09:31:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
108,01/04/2021 14:09:00+05,01/04/2021 14:09:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
109,01/04/2021 14:09:00+05,01/04/2021 14:09:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
110,01/04/2021 14:50:00+05,01/04/2021 14:50:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
111,01/04/2021 14:15:00+05,01/04/2021 14:15:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
112,01/04/2021 14:54:00+05,01/04/2021 14:54:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
113,01/04/2021 14:37:00+05,01/04/2021 14:37:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
114,01/04/2021 14:40:00+05,05/04/2021 07:22:00+05,,Media,3-Medio,MANTENIMIENTO IB.COM,PERFORMANCE ISSUE
115,01/04/2021 15:19:00+05,,,Baja,4-Baja,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
116,01/04/2021 17:07:00+05,01/04/2021 17:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
117,01/04/2021 17:45:00+05,14/04/2021 10:29:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
118,01/04/2021 15:09:00+05,05/04/2021 09:03:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
119,01/04/2021 16:43:00+05,01/04/2021 16:43:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
120,01/04/2021 15:25:00+05,01/04/2021 15:25:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
121,01/04/2021 15:45:00+05,16/04/2021 13:34:00+05,,Media,3-Medio,Mantenimiento Operaciones,SOFTWARE FAILURE
122,01/04/2021 15:47:00+05,05/04/2021 12:29:00+05,,Media,3-Medio,Mantenimiento Pasaje,DATA ISSUE
123,01/04/2021 16:44:00+05,01/04/2021 16:44:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
124,01/04/2021 16:35:00+05,01/04/2021 16:35:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
125,01/04/2021 16:44:00+05,07/04/2021 12:48:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
126,01/04/2021 16:57:00+05,01/04/2021 16:57:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
127,01/04/2021 17:07:00+05,01/04/2021 17:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
128,01/04/2021 17:34:00+05,02/04/2021 09:50:00+05,,Media,3-Medio,Mantenimiento Pasaje,DATA ISSUE
129,01/04/2021 19:15:00+05,06/04/2021 10:34:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
130,01/04/2021 18:02:00+05,01/04/2021 18:19:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
131,01/04/2021 17:59:00+05,02/04/2021 07:05:00+05,,Alta,2-Alta,Mantenimiento Aeropuertos,SOFTWARE FAILURE
132,01/04/2021 18:06:00+05,05/04/2021 08:40:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
133,01/04/2021 18:31:00+05,07/04/2021 16:11:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
134,01/04/2021 18:54:00+05,01/04/2021 18:54:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
135,01/04/2021 19:47:00+05,,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
136,01/04/2021 19:36:00+05,01/04/2021 19:36:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
137,01/04/2021 19:38:00+05,01/04/2021 19:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
138,01/04/2021 20:37:00+05,05/04/2021 12:38:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
139,01/04/2021 21:20:00+05,05/04/2021 12:37:00+05,,Baja,4-Baja,Mantenimiento Aeropuertos,SOFTWARE FAILURE
140,01/04/2021 20:43:00+05,05/04/2021 11:24:00+05,,Media,3-Medio,Mantenimiento Cargo,PERFORMANCE ISSUE
141,01/04/2021 20:51:00+05,01/04/2021 20:59:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,PROCESS FAILURE
142,01/04/2021 22:36:00+05,01/04/2021 22:36:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
143,01/04/2021 21:34:00+05,02/04/2021 10:51:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PROCESS FAILURE
144,01/04/2021 21:34:00+05,01/04/2021 21:36:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
145,01/04/2021 21:47:00+05,07/04/2021 07:14:00+05,,Media,3-Medio,MANTENIMIENTO IB.COM,PROCESS FAILURE
146,01/04/2021 22:07:00+05,01/04/2021 22:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
147,01/04/2021 22:16:00+05,07/04/2021 08:24:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
148,01/04/2021 22:39:00+05,01/04/2021 22:39:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
149,01/04/2021 22:51:00+05,02/04/2021 04:30:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
150,01/04/2021 22:52:00+05,01/04/2021 22:52:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
151,01/04/2021 23:08:00+05,01/04/2021 23:08:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
152,01/04/2021 23:20:00+05,01/04/2021 23:20:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
153,01/04/2021 23:43:00+05,01/04/2021 23:43:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
154,01/04/2021 23:23:00+05,02/04/2021 10:50:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
155,01/04/2021 23:57:00+05,01/04/2021 23:57:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
156,02/04/2021 00:52:00+05,02/04/2021 00:52:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
157,02/04/2021 01:12:00+05,02/04/2021 01:12:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
158,02/04/2021 01:37:00+05,02/04/2021 01:37:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
159,02/04/2021 02:53:00+05,02/04/2021 09:27:00+05,,Media,3-Medio,Mantenimiento Cargo,DATA ISSUE
160,02/04/2021 01:44:00+05,02/04/2021 14:06:00+05,,Media,3-Medio,Mantenimiento Pasaje,PROCESS FAILURE
161,02/04/2021 02:44:00+05,02/04/2021 12:12:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
162,02/04/2021 02:49:00+05,05/04/2021 12:04:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
163,02/04/2021 03:13:00+05,02/04/2021 09:00:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PROCESS FAILURE
164,02/04/2021 03:14:00+05,02/04/2021 10:27:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
165,02/04/2021 03:36:00+05,07/04/2021 09:48:00+05,,Media,3-Medio,MANTENIMIENTO IB.COM,PERFORMANCE ISSUE
166,02/04/2021 09:23:00+05,27/04/2021 23:23:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
167,02/04/2021 07:54:00+05,05/04/2021 08:57:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
168,02/04/2021 08:05:00+05,03/04/2021 12:45:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
169,02/04/2021 08:07:00+05,03/04/2021 12:43:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
170,02/04/2021 08:11:00+05,02/04/2021 09:37:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
171,02/04/2021 08:34:00+05,09/04/2021 11:28:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
172,02/04/2021 12:39:00+05,02/04/2021 12:50:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
173,02/04/2021 08:48:00+05,02/04/2021 08:48:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
174,02/04/2021 08:47:00+05,02/04/2021 08:47:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
175,02/04/2021 09:11:00+05,03/04/2021 01:02:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
176,02/04/2021 09:21:00+05,02/04/2021 10:00:00+05,,Media,3-Medio,Mantenimiento Pasaje,DEFAULT
177,02/04/2021 12:12:00+05,12/04/2021 08:46:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
178,02/04/2021 09:38:00+05,02/04/2021 11:22:00+05,,Alta,2-Alta,Mantenimiento BI,SOFTWARE FAILURE
179,02/04/2021 10:35:00+05,09/04/2021 10:03:00+05,,Baja,4-Baja,Mantenimiento Movilidad,SOFTWARE FAILURE
180,02/04/2021 09:47:00+05,02/04/2021 09:47:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
181,02/04/2021 10:49:00+05,05/04/2021 03:08:00+05,,Media,2-Alta,Unidad Control del Servicio,ACCESS FAILURE
182,02/04/2021 11:29:00+05,02/04/2021 11:29:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
183,02/04/2021 10:53:00+05,02/04/2021 10:53:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
184,02/04/2021 11:02:00+05,05/04/2021 21:23:00+05,,Media,3-Medio,Mantenimiento Pasaje,DATA ISSUE
185,02/04/2021 11:13:00+05,05/04/2021 08:57:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
186,02/04/2021 11:55:00+05,07/04/2021 09:58:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
187,02/04/2021 12:13:00+05,02/04/2021 12:13:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
188,05/04/2021 13:57:00+05,05/04/2021 13:57:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
189,02/04/2021 12:26:00+05,02/04/2021 13:39:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
190,02/04/2021 12:37:00+05,02/04/2021 12:37:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
191,02/04/2021 12:48:00+05,02/04/2021 12:48:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
192,02/04/2021 14:13:00+05,02/04/2021 14:35:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
193,02/04/2021 12:57:00+05,02/04/2021 12:57:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
194,02/04/2021 12:58:00+05,05/04/2021 13:16:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
195,02/04/2021 13:43:00+05,02/04/2021 13:43:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
196,02/04/2021 13:17:00+05,02/04/2021 13:17:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
197,02/04/2021 14:29:00+05,02/04/2021 14:29:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
198,02/04/2021 14:14:00+05,02/04/2021 14:14:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
199,02/04/2021 13:47:00+05,09/04/2021 13:58:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
200,01/04/2021 22:05:00+05,01/04/2021 22:05:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
201,01/04/2021 22:10:00+05,01/04/2021 22:10:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
202,02/04/2021 00:47:00+05,02/04/2021 00:47:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
203,01/04/2021 23:01:00+05,05/04/2021 17:42:00+05,,Baja,4-Baja,Mantenimiento Aeropuertos,ACCESS FAILURE
204,01/04/2021 23:03:00+05,01/04/2021 23:03:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
